tm,r_running_adj,ra_running_adj,year,w,l,w_l_percent,ra_g_proj,number_bat,bat_age,r_g,g_proj,pa_proj,ab_proj,r_last_year,h_proj,x2b_proj,x3b_proj,hr_proj,rbi,sb_proj,cs_proj,bb_proj,so_proj,ba_proj,obp_proj,slg_proj,ops_proj,ops_plus,tb_proj,gdp_proj,hbp_proj,sh_proj,sf_proj,ibb_proj,lob,iso_proj,hits_per_run_proj,base_runs_proj,war.x,league_proj,ra_g_a,p_au_a,g_a,pa_a,ab_a,ra_last_year,h_a,x2b_a,x3b_a,hr_a,sb_a,cs_a,bb_a,so_a,ba_a,obp_a,slg_a,ops_a,b_abip_a,tb_a,gdp_a,hbp_a,sh_a,sf_a,ibb_a,roe_a,iso_a,hits_per_run_a,base_runs_a,war.y,r_this_year,ra_this_year,hits_a_per_run,runs_exp,runs_a_exp,war_proj,league,ra_g,p_au,g,pa,ab,r,h,x2b,x3b,hr,sb,cs,bb,so,ba,obp,slg,ops,b_abip,tb,gdp,hbp,sh,sf,ibb,roe,iso,hits_per_run,base_runs,war,war_adj,war_diff,wp_diff,pyth_old,r_exponent,ra_exponent,ra
SFG,813.29,588.96,2021,107,55,0.66,3.7,54,30.6,4.96,162,6196,5462,804,1360,271,25,241,768,66,14,602,1461,0.249,0.329,0.44,0.769,107,2404,117,64,36,30,45,1109,0.191,1.67411581503801,814.2084928839377,30,NL,3.67,NA,162,6002,5452,594,1254,239,29,151,53,20,416,1425,0.23,0.291,0.368,0.658,0.282,2004,106,63,36,32,20,49,0.13799999999999998,2.111111111111111,607.3094193415528,21.9,804,594,2.1226329319309434,813.2888089983896,599.0425699870784,17.3,NL,3.67,NA,162,6002,5452,-52.35,1254,239,29,151,53,20,416,1425,0.23,0.291,0.368,0.658,0.282,2004,106,63,36,32,20,49,0.13799999999999998,2.111111111111111,607.3094193415528,21.9,21.9,-4.599999999999998,-0.02839506172839505,0.6435016427871091,187441.9969073487,132476.62428092933,40.52
LAD,804.98,566.69,2021,106,56,0.654,3.5,61,29.2,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,0.244,0.33,0.429,0.759,103,2336,96,104,32,45,36,1139,0.185,1.656745403746299,807.1818361483656,29.5,NL,3.46,NA,162,5948,5335,561,1107,227,9,161,108,34,486,1599,0.207,0.28,0.344,0.624,0.263,1835,84,63,36,24,43,54,0.13699999999999998,1.9732620320855614,560.8031158478963,26.9,830,561,2.0134010063331744,804.9802917801701,555.3095361453554,19.4,NL,3.46,NA,162,5948,5335,-83.06,1107,227,9,161,108,34,486,1599,0.207,0.28,0.344,0.624,0.263,1835,84,63,36,24,43,54,0.13699999999999998,1.9732620320855614,560.8031158478963,26.9,26.9,-7.5,-0.046296296296296294,0.6552820434408516,170230.311928964,133405.02083202495,65.2
TBR,792.09,662.96,2021,100,62,0.617,4,61,27.7,5.29,162,6213,5507,857,1336,288,36,222,810,88,42,585,1542,0.243,0.321,0.429,0.75,112,2362,75,72,6,41,27,1056,0.186,1.7157116210555787,805.4919822403539,30,AL,4.02,NA,162,5998,5454,651,1264,244,23,184,69,22,436,1478,0.232,0.294,0.386,0.68,0.282,2106,110,55,19,34,27,38,0.154,1.9416282642089093,652.882625466281,18.7,857,651,2.021785750228599,792.0888106256006,639.0362550649584,18.5,AL,4.02,NA,162,5998,5454,-2.19,1264,244,23,184,69,22,436,1478,0.232,0.294,0.386,0.68,0.282,2106,110,55,19,34,27,38,0.154,1.9416282642089093,652.882625466281,18.7,18.7,-0.1999999999999993,-0.0012345679012345635,0.580704833238864,200704.10389722147,146393.88766666912,1.84
MIL,706.37,642.98,2021,95,67,0.586,3.8,61,28.7,4.56,162,6099,5362,738,1251,255,18,194,700,82,21,586,1465,0.233,0.317,0.396,0.713,91,2124,102,88,25,35,26,1088,0.163,1.7866313050882798,712.5444002047343,22.2,NL,3.85,NA,162,5990,5300,623,1156,200,18,168,91,30,537,1618,0.218,0.298,0.358,0.655,0.278,1896,92,77,39,34,19,43,0.13999999999999999,1.85553772070626,607.8729357003759,23.6,738,623,1.9325638921619697,706.3724128427307,603.021016797953,20.7,NL,3.85,NA,162,5990,5300,-27.23,1156,200,18,168,91,30,537,1618,0.218,0.298,0.358,0.655,0.278,1896,92,77,39,34,19,43,0.13999999999999999,1.85553772070626,607.8729357003759,23.6,23.6,-2.900000000000002,-0.01790123456790125,0.5429108741303171,152224.2493483698,147994.82487319474,25.78
HOU,841.01,652.79,2021,95,67,0.586,4.1,52,28.9,5.33,162,6291,5593,863,1496,299,14,221,834,53,16,569,1222,0.267,0.339,0.444,0.783,113,2486,136,64,9,54,25,1134,0.177,1.8132773548315129,856.9938076896267,33.9,AL,4.06,NA,162,6060,5389,658,1231,236,14,187,56,26,549,1456,0.228,0.306,0.382,0.688,0.276,2056,107,70,21,31,12,34,0.154,1.8708206686930091,668.9222854204821,16.9,863,658,1.87225419735316,841.0096383180804,663.2092373173429,15.5,AL,4.06,NA,162,6060,5389,-16.52,1231,236,14,187,56,26,549,1456,0.228,0.306,0.382,0.688,0.276,2056,107,70,21,31,12,34,0.154,1.8708206686930091,668.9222854204821,16.9,16.9,-1.3999999999999986,-0.008641975308641966,0.6138742383986705,217078.04962243713,146826.92501791,13.08
CHW,770.4,641.93,2021,93,69,0.574,3.9,47,28,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,0.256,0.336,0.422,0.758,107,2262,139,78,24,39,10,1111,0.16599999999999998,1.8053595184455058,780.2840661164962,25.3,AL,3.93,NA,162,5861,5260,636,1205,199,26,182,119,24,485,1588,0.229,0.298,0.381,0.679,0.289,2002,100,51,15,44,16,37,0.152,1.8946540880503144,647.7458164304232,27.1,796,636,1.9676666903908573,770.3987038132824,630.073141690892,18.4,AL,3.93,NA,162,5861,5260,-86.43,1205,199,26,182,119,24,485,1588,0.229,0.298,0.381,0.679,0.289,2002,100,51,15,44,16,37,0.152,1.8946540880503144,647.7458164304232,27.1,27.1,-8.700000000000003,-0.05370370370370372,0.5826953570748835,154213.59344015882,170714.56085904446,81.11
BOS,815.31,731.82,2021,92,70,0.568,4.6,56,28,5.12,162,6122,5495,829,1434,330,23,219,783,40,21,512,1386,0.261,0.328,0.449,0.777,104,2467,100,61,10,42,22,1071,0.188,1.7954232606217748,831.9296255053397,23.2,AL,4.62,NA,162,6147,5470,749,1409,306,20,176,92,22,546,1527,0.258,0.332,0.417,0.749,0.324,2283,120,79,12,40,31,46,0.15899999999999997,1.8811748998664886,784.8976999297929,19.2,829,749,1.8850354892105452,815.313543342077,766.1818666812264,15.5,AL,4.62,NA,162,6147,5470,-39.93,1409,306,20,176,92,22,546,1527,0.258,0.332,0.417,0.749,0.324,2283,120,79,12,40,31,46,0.15899999999999997,1.8811748998664886,784.8976999297929,19.2,19.2,-3.6999999999999993,-0.022839506172839502,0.5492651153910686,194003.07824874154,191325.06444876955,37.69
NYY,726.8,679.89,2021,92,70,0.568,4.1,59,29.3,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,100,2169,154,63,10,34,14,1073,0.16999999999999998,1.74243081701978,727.0328695209324,18.2,AL,4.13,NA,162,5999,5386,669,1243,232,15,196,86,17,492,1569,0.231,0.299,0.389,0.688,0.286,2093,99,56,16,46,10,39,0.158,1.8579970104633783,676.4334236231683,22.3,711,669,1.9428272344135187,726.8020205162732,658.1113421684684,23,AL,4.13,NA,162,5999,5386,6.93,1243,232,15,196,86,17,492,1569,0.231,0.299,0.389,0.688,0.286,2093,99,56,16,46,10,39,0.158,1.8579970104633783,676.4334236231683,22.3,22.3,0.6999999999999993,0.004320987654320983,0.5304866795128721,175358.89999189772,149907.7978767586,-6.42
TOR,847.08,636.74,2021,91,71,0.562,4.1,62,26.8,5.22,162,6070,5476,846,1455,285,13,262,816,81,20,496,1218,0.266,0.33,0.466,0.797,115,2552,112,51,10,35,14,1039,0.2,1.7573522522441363,866.2141317170303,30.5,AL,4.09,NA,162,5916,5337,663,1257,248,19,209,73,22,473,1468,0.236,0.305,0.407,0.712,0.284,2170,108,75,7,24,10,49,0.17099999999999999,1.8959276018099547,702.5830536232036,14.6,846,663,1.8596193933699654,847.0821235460013,689.2639109676117,16.8,AL,4.09,NA,162,5916,5337,27.55,1257,248,19,209,73,22,473,1468,0.236,0.305,0.407,0.712,0.284,2170,108,75,7,24,10,49,0.17099999999999999,1.8959276018099547,702.5830536232036,14.6,14.6,2.200000000000001,0.013580246913580254,0.6276956452426368,241843.85280310502,127590.21044480697,-20.05
STL,707.81,687.53,2021,90,72,0.556,4.1,51,28.5,4.36,162,6001,5351,706,1303,261,22,198,678,89,22,478,1341,0.244,0.313,0.412,0.725,101,2202,99,86,40,44,32,1070,0.16799999999999998,1.8821337922555013,723.3118988975767,24.8,NL,4.15,NA,162,6046,5281,672,1234,252,17,152,43,23,608,1225,0.234,0.32,0.374,0.695,0.274,1976,113,85,33,39,30,33,0.13999999999999999,1.8363095238095237,656.1999683762713,12.1,706,672,1.8789587608010012,707.8056241853856,656.4733433442316,11.8,NL,4.15,NA,162,6046,5281,-2.86,1234,252,17,152,43,23,608,1225,0.234,0.32,0.374,0.695,0.274,1976,113,85,33,39,30,33,0.13999999999999999,1.8363095238095237,656.1999683762713,12.1,12.1,-0.29999999999999893,-0.0018518518518518452,0.5132964950477615,162977.84835999517,156842.11694510613,2.79
